time     nh_mx nh_sd nhc sh_mx sh_sd shc gl_mx gl_sd glc nh-sh
1977.042    .0   .00   0    .0   .00   0    .0   .00   0   .00
1977.125    .0   .00   0    .0   .00   0    .0   .00   0   .00
1977.208    .0   .00   0    .0   .00   0    .0   .00   0   .00
1977.292    .0   .00   0    .0   .00   0    .0   .00   0   .00
1977.375    .0   .00   0 300.5   .00   1    .0   .00   0   .00
1977.458    .0   .00   0    .0   .00   0    .0   .00   0   .00
1977.542    .0   .00   0    .0   .00   0    .0   .00   0   .00
1977.625 300.9  2.55   1    .0   .00   0    .0   .00   0   .00
1977.708 299.6  2.21   3 300.8  2.55   1 300.2  2.39   4 -1.24
1977.792 299.9  2.54   3 296.1  1.30   1 298.0  2.02   4  3.83
1977.875 299.1  1.65   3 296.1  1.91   1 297.6  1.78   4  3.00
1977.958 302.3  1.41   2 299.8  3.30   1 301.1  2.54   3  2.53
1978.042 301.6  2.14   2 296.5  1.78   2 299.0  1.97   4  5.10
1978.125 300.3  1.36   3 298.3  2.90   2 299.3  2.27   5  2.00
1978.208 301.3  1.50   3 299.2  3.61   1 300.2  2.76   4  2.08
1978.292 300.1  1.17   3 299.0  1.32   2 299.5  1.24   5  1.13
1978.375 299.9  1.65   3 298.8  1.17   2 299.3  1.43   5  1.09
1978.458 299.5  1.17   3 299.4  1.84   2 299.5  1.54   5   .13
1978.542 299.3  1.78   3 299.0   .98   2 299.1  1.44   5   .30
1978.625 299.4  1.73   3 298.3  1.38   2 298.8  1.56   5  1.09
1978.708 300.7   .71   3 298.3  2.44   2 299.5  1.79   5  2.33
1978.792 300.3   .98   3 297.2   .85   1 298.8   .92   4  3.11
1978.875 300.6  1.16   3 298.6  1.74   2 299.6  1.47   5  2.05
1978.958 300.3  1.08   3 298.4  1.41   2 299.3  1.26   5  1.92
1979.042 300.5  1.31   3 299.8  2.07   2 300.2  1.73   5   .71
1979.125 299.8  1.08   3 298.8  1.41   2 299.3  1.25   5   .96
1979.208 300.9  1.48   3 297.2  1.25   1 299.1  1.37   4  3.75
1979.292 300.7  1.48   3 297.6  1.53   1 299.2  1.51   4  3.14
1979.375 300.8   .89   3 298.9  1.49   1 299.8  1.23   4  1.87
1979.458 300.7  1.00   3 298.5   .74   1 299.6   .88   4  2.18
1979.542 301.1  1.20   3 299.1  3.03   1 300.1  2.30   4  2.02
1979.625 300.8  1.41   3 300.3  1.98   1 300.5  1.72   4   .47
1979.708 300.5  1.62   3 301.1  2.85   1 300.8  2.32   4  -.61
1979.792 301.7  1.34   3 301.3  1.89   2 301.5  1.64   5   .40
1979.875 301.5  1.65   3 299.2  1.38   2 300.3  1.52   5  2.28
1979.958 302.4  1.45   3 300.3  1.97   2 301.3  1.73   5  2.06
1980.042 302.7   .96   3 301.0  2.44   2 301.9  1.86   5  1.70
1980.125 301.7  1.66   3 300.7   .99   1 301.2  1.37   4  1.03
1980.208 301.8  1.39   3 299.7  1.90   2 300.7  1.66   5  2.06
1980.292 301.0  2.08   3 298.9  2.22   2 299.9  2.15   5  2.17
1980.375 301.7  2.26   3 300.2  2.20   2 301.0  2.23   5  1.51
1980.458 301.8  1.51   3 299.6  1.98   2 300.7  1.76   5  2.23
1980.542 300.2  1.60   3 298.8  1.08   2 299.5  1.37   5  1.42
1980.625 302.0  2.76   3 300.1  2.38   2 301.0  2.58   5  1.85
1980.708 301.2  2.20   3 299.6  3.33   1 300.4  2.82   4  1.58
1980.792 301.9  1.99   3 299.5  1.55   2 300.7  1.78   5  2.35
1980.875 301.0  1.98   3 298.2  1.45   2 299.6  1.74   5  2.82
1980.958 300.5  2.14   3 298.6  1.76   2 299.5  1.95   5  1.88
1981.042 301.0  1.73   3 300.2  1.87   2 300.6  1.80   5   .74
1981.125 301.2  1.83   3 301.6  3.34   2 301.4  2.69   5  -.40
1981.208 302.6  1.45   3 300.2  2.30   2 301.4  1.93   5  2.41
1981.292 302.9  2.03   3 299.5  1.21   2 301.2  1.67   5  3.41
1981.375 302.1   .95   3 300.9  2.25   2 301.5  1.72   5  1.16
1981.458 302.6  1.50   3 301.0  1.93   2 301.8  1.73   5  1.60
1981.542 301.5  1.72   3 301.6  2.26   2 301.6  2.01   5  -.05
1981.625 302.7  1.78   3 300.4  1.76   2 301.6  1.77   5  2.22
1981.708 301.7  2.06   3 301.7  1.63   2 301.7  1.86   5   .04
1981.792 302.3  1.72   3 302.0  1.57   2 302.1  1.65   5   .31
1981.875 301.9  1.57   3 301.9  1.26   2 301.9  1.43   5   .02
1981.958 302.0  1.68   3 301.1  2.39   2 301.5  2.07   5   .86
1982.042 302.3  1.10   3 301.1  1.41   2 301.7  1.26   5  1.26
1982.125 302.5  1.86   3 300.3  2.05   1 301.4  1.96   4  2.15
1982.208 302.1  1.45   3 299.6  2.19   1 300.9  1.86   4  2.54
1982.292 303.6  1.19   3 302.6  1.74   1 303.1  1.49   4   .96
1982.375 303.2  1.31   3 302.4  1.51   1 302.8  1.41   4   .77
1982.458 303.0  2.09   3 303.4  2.46   1 303.2  2.28   4  -.37
1982.542 303.5  1.60   3 301.3  2.13   1 302.4  1.88   4  2.18
1982.625 304.5  1.13   3 301.6  1.43   1 303.1  1.29   4  2.91
1982.708 303.3   .79   3 303.1  1.23   1 303.2  1.03   4   .21
1982.792 303.3  1.65   3 301.8  2.00   1 302.6  1.83   4  1.52
1982.875 303.5  1.35   3 302.0  1.92   2 302.7  1.66   5  1.52
1982.958 303.2  1.29   3 301.8  1.55   2 302.5  1.42   5  1.36
1983.042 303.6  1.14   3 302.8  1.59   2 303.2  1.38   5   .82
1983.125 304.1  1.45   3 302.0  1.84   1 303.0  1.66   4  2.10
1983.208 303.6  1.66   3 301.9  2.63   1 302.7  2.20   4  1.66
1983.292 303.3  1.87   3 302.2  1.56   1 302.8  1.72   4  1.13
1983.375 304.0  1.37   3 301.4  2.17   1 302.7  1.82   4  2.57
1983.458 303.2  1.00   3 302.2   .32   2 302.7   .74   5  1.02
1983.542 303.9  1.47   3 303.9  2.80   1 303.9  2.24   4  -.03
1983.625 304.1  1.59   3 303.7  1.84   1 303.9  1.72   4   .38
1983.708 303.1  1.24   3 302.3  2.04   2 302.7  1.69   5   .80
1983.792 303.3   .99   3 303.3  2.08   1 303.3  1.63   4   .03
1983.875 303.1  1.30   3 302.4  1.08   1 302.8  1.19   4   .72
1983.958 303.7  1.33   3 303.0  1.39   2 303.3  1.36   5   .67
1984.042 303.7  1.17   3 303.4   .98   2 303.6  1.08   5   .28
1984.125 303.4  1.23   3 303.3  2.07   2 303.3  1.70   5   .11
1984.208 303.0  1.47   3 305.9  3.32   1 304.4  2.57   4 -2.94
1984.292 304.1   .99   3 303.1  1.27   1 303.6  1.14   4   .97
1984.375    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.458    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.542    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.625    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.708    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.792    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.875    .0   .00   0    .0   .00   0    .0   .00   0   .00
1984.958    .0   .00   0    .0   .00   0    .0   .00   0   .00
1985.042    .0   .00   0    .0   .00   0    .0   .00   0   .00
1985.125 304.7   .65   2 301.8  2.00   1 303.2  1.49   3  2.87
1985.208 303.7  1.55   3 303.3  1.63   1 303.5  1.59   4   .44
1985.292 303.8  1.16   3 304.3  1.98   1 304.0  1.62   4  -.54
1985.375 304.4  2.34   3 303.7  1.96   1 304.1  2.16   4   .71
1985.458 304.5  1.89   3 304.5  1.92   1 304.5  1.91   4   .02
1985.542 303.8  1.20   3 303.9   .84   1 303.8  1.04   4  -.14
1985.625 303.6  1.58   3 304.2  1.98   1 303.9  1.79   4  -.62
1985.708 304.8  1.34   3 303.4   .97   1 304.1  1.17   4  1.44
1985.792 305.1  1.24   3 304.8  1.18   1 305.0  1.21   4   .32
1985.875 305.6  1.95   3 304.3  2.36   2 304.9  2.16   5  1.22
1985.958 305.0  1.09   3 304.6  1.95   2 304.8  1.58   5   .41
1986.042 305.2   .79   3 304.3  1.87   2 304.8  1.43   5   .83
1986.125 304.9   .93   3 305.0  1.01   1 305.0   .97   4  -.08
1986.208 305.5  1.16   3 304.4   .57   1 304.9   .92   4  1.05
1986.292 305.0  1.13   3 305.3  1.78   1 305.2  1.49   4  -.27
1986.375 305.2  1.16   3 304.2  1.03   1 304.7  1.10   4  1.02
1986.458 305.5  1.82   3 305.9   .52   1 305.7  1.34   4  -.42
1986.542 306.6  1.76   3 305.5  1.56   1 306.0  1.66   4  1.07
1986.625 306.0  1.27   3 306.2  3.05   1 306.1  2.34   4  -.19
1986.708 305.9  1.01   3 305.6  1.77   1 305.7  1.44   4   .29
1986.792 306.6  1.53   3 305.1  1.20   1 305.8  1.38   4  1.46
1986.875 305.9  1.77   3 305.6  1.95   2 305.8  1.86   5   .29
1986.958 305.7  1.58   3 305.0  1.16   2 305.4  1.39   5   .64
1987.042 306.2  1.61   3 305.2  2.04   2 305.7  1.84   5   .96
1987.125 305.5  1.25   3 303.9   .40   1 304.7   .93   4  1.59
1987.208 306.2  1.58   3 304.4  2.33   1 305.3  1.99   4  1.76
1987.292 305.1  1.44   3 306.5   .50   1 305.8  1.08   4 -1.37
1987.375 306.7  1.74   3 303.9  1.63   1 305.3  1.69   4  2.75
1987.458 306.2  1.28   3 302.0   .30   1 304.1   .93   4  4.22
1987.542 304.8  2.19   3 303.8  2.29   1 304.3  2.24   4   .96
1987.625 306.0  1.64   3 301.5   .90   1 303.7  1.32   4  4.47
1987.708 304.9  1.38   3 304.8  2.41   1 304.8  1.96   4   .06
1987.792 306.3  1.21   3 305.2  1.82   1 305.8  1.54   4  1.13
1987.875 306.9  1.41   3 305.9  2.22   2 306.4  1.86   5   .95
1987.958 307.6  1.57   3 306.4  2.29   2 307.0  1.96   5  1.16
1988.042 306.9  1.45   3 307.0  1.14   2 306.9  1.30   5  -.09
1988.125 306.8  1.54   4 306.5  2.06   2 306.6  1.82   6   .30
1988.208 306.9   .97   4 305.3  1.66   1 306.1  1.36   5  1.64
1988.292 306.8  1.06   4 304.8  1.42   1 305.8  1.25   5  1.95
1988.375 306.5  1.12   4 305.0  2.75   1 305.8  2.10   5  1.52
1988.458 306.2  1.86   4 305.1   .67   1 305.7  1.40   5  1.11
1988.542 307.2  1.28   4 304.9  2.32   1 306.1  1.87   5  2.35
1988.625 306.4  1.14   4 305.8  2.24   1 306.1  1.78   5   .62
1988.708 306.4  1.19   4 305.1  2.01   1 305.7  1.65   5  1.28
1988.792 307.1  1.29   4 305.5  1.55   1 306.3  1.42   5  1.59
1988.875 308.2  1.18   4 306.3  1.95   1 307.2  1.61   5  1.85
1988.958 307.3  1.58   4 307.6  1.08   2 307.4  1.35   6  -.29
1989.042 307.8  1.09   3 306.3  1.91   2 307.0  1.56   5  1.55
1989.125 308.6   .97   4 309.3  1.16   1 309.0  1.07   5  -.65
1989.208 307.9  1.18   4 308.4  1.76   1 308.1  1.50   5  -.52
1989.292 308.4   .67   4 306.9   .90   1 307.7   .80   5  1.53
1989.375 308.6  1.15   4 307.0  1.47   1 307.8  1.32   5  1.55
1989.458 308.3  1.91   3 308.9  2.99   1 308.6  2.51   4  -.56
1989.542 307.8  1.78   4 306.4  2.77   1 307.1  2.33   5  1.45
1989.625 307.9  1.10   4 309.2  1.07   1 308.6  1.08   5 -1.29
1989.708 308.2  1.11   4 308.0  1.42   1 308.1  1.27   5   .20
1989.792 308.3   .95   4 307.0  1.98   1 307.6  1.55   5  1.28
1989.875 308.8  1.13   4 308.2  2.05   1 308.5  1.66   5   .60
1989.958 309.2  1.07   4 308.6  1.90   2 308.9  1.54   6   .57
1990.042 310.5  1.41   4 310.6  1.25   1 310.6  1.33   5  -.08
1990.125 309.7  1.30   4 310.2   .90   1 310.0  1.12   5  -.47
1990.208 309.9  1.20   4 308.0  2.74   1 309.0  2.11   5  1.92
1990.292 309.0  1.11   4 307.5  2.94   1 308.2  2.22   5  1.47
1990.375 309.0  1.35   4 305.7  1.70   1 307.3  1.53   5  3.28
1990.458 308.3  1.67   4 305.9  3.23   1 307.1  2.57   5  2.41
1990.542 307.8  2.14   3 305.8  1.27   1 306.8  1.76   4  2.04
1990.625 310.7  2.00   4 307.3  1.93   1 309.0  1.96   5  3.36
1990.708 310.5  1.34   4 309.4   .40   1 310.0   .99   5  1.13
1990.792 310.1   .91   4 308.6  2.35   1 309.4  1.78   5  1.53
1990.875 309.5  1.11   4 305.7  2.07   1 307.6  1.66   5  3.79
1990.958 310.3  1.07   4 308.8  1.74   2 309.6  1.44   6  1.52
1991.042 310.6  1.62   4 310.1  2.01   2 310.4  1.83   6   .48
1991.125 310.5  1.10   4 308.0   .44   1 309.3   .84   5  2.53
1991.208 310.5   .90   4 308.4  2.76   1 309.4  2.05   5  2.05
1991.292 310.7  1.49   4 309.2  2.53   1 309.9  2.08   5  1.47
1991.375 309.3  1.69   4 309.4  1.02   2 309.3  1.40   6  -.17
1991.458 310.3  1.60   4 308.4  2.14   2 309.3  1.89   6  1.84
1991.542 310.1   .70   4 308.3  1.17   2 309.2   .97   6  1.76
1991.625 309.7   .79   4 309.1   .34   2 309.4   .61   6   .66
1991.708 310.7  1.43   4 308.8  1.46   2 309.8  1.44   6  1.84
1991.792 310.5   .74   4 307.7  1.10   2 309.1   .94   6  2.79
1991.875 311.0  1.72   4 309.1  1.02   2 310.0  1.42   6  1.88
1991.958 311.2  1.23   4 308.4  2.38   2 309.8  1.89   6  2.75
1992.042 311.2  1.82   4 309.4  1.70   3 310.3  1.76   7  1.84
1992.125 311.4  1.23   4 309.8  1.59   3 310.6  1.42   7  1.56
1992.208 310.8  1.77   3 308.8  1.88   2 309.8  1.83   5  1.98
1992.292 310.5  1.11   4 307.9  1.15   3 309.2  1.13   7  2.59
1992.375 310.3  1.52   4 308.4  2.29   3 309.4  1.95   7  1.86
1992.458 309.5  1.21   4 308.5  1.98   2 309.0  1.64   6  1.08
1992.542 308.7  1.17   4 307.7  2.29   3 308.2  1.82   7  1.05
1992.625 310.1  1.38   4 309.2  1.27   3 309.6  1.33   7   .88
1992.708 309.9  1.00   4 309.8  1.94   3 309.9  1.54   7   .07
1992.792 311.2  1.95   4 308.8  1.05   3 310.0  1.57   7  2.39
1992.875 311.7  2.02   4 310.2  1.07   2 311.0  1.62   6  1.44
1992.958 310.9  1.40   4 308.5   .82   2 309.7  1.15   6  2.35
1993.042 311.6  1.09   4 310.2  1.34   3 310.9  1.22   7  1.36
1993.125 312.4  1.85   4 310.9  2.05   3 311.7  1.95   7  1.53
1993.208 311.2  1.83   4 309.0  1.68   2 310.1  1.76   6  2.24
1993.292 311.9  1.71   4 309.2   .93   3 310.6  1.37   7  2.67
1993.375 311.1  1.81   4 310.5   .60   3 310.8  1.35   7   .64
1993.458 310.6  1.50   3 310.4   .20   1 310.5  1.07   4   .19
1993.542 309.9  2.12   4 310.1   .95   3 310.0  1.64   7  -.12
1993.625 310.8  3.08   4 309.9  2.06   3 310.3  2.62   7   .87
1993.708 310.6  1.76   4 309.6  2.10   3 310.1  1.93   7   .99
1993.792 310.9  2.30   4 308.2   .58   2 309.6  1.67   6  2.66
1993.875 312.3  1.98   4 310.9   .91   2 311.6  1.54   6  1.38
1993.958 311.2  1.89   4 309.2  1.40   2 310.2  1.67   6  1.98
1994.042 311.0  1.49   4 310.1  1.27   2 310.6  1.39   6   .94
1994.125 310.5  1.99   4 310.5  1.76   3 310.5  1.88   7   .02
1994.208 311.1  1.65   4 309.9  1.92   3 310.5  1.79   7  1.16
1994.292 311.3  2.10   4 310.8  1.55   3 311.1  1.85   7   .49
1994.375 310.9  1.66   4 310.6  2.47   3 310.7  2.11   7   .22
1994.458 310.1  2.10   4 309.7  2.17   3 309.9  2.14   7   .44
1994.542 311.0  1.57   4 310.7   .61   3 310.8  1.19   7   .31
1994.625 311.1  1.62   4 311.4   .77   3 311.2  1.26   7  -.33
1994.708 311.5  2.15   4 310.3  2.07   3 310.9  2.11   7  1.21
1994.792 310.8  1.97   4 310.3  1.40   3 310.6  1.71   7   .47
1994.875 311.2  1.10   4 310.8  2.02   3 311.0  1.63   7   .39
1994.958 309.8  1.09   4 310.9  1.93   3 310.4  1.57   7 -1.15
1995.042 310.7  1.76   4 310.0  1.50   3 310.4  1.64   7   .71
1995.125 311.3  2.34   4 310.5  1.24   3 310.9  1.88   7   .73
1995.208 312.3  1.30   4 310.7  1.38   3 311.5  1.34   7  1.58
1995.292 312.5  1.82   4 310.4  1.06   3 311.5  1.49   7  2.11
1995.375 312.4  2.17   4 310.8   .71   2 311.6  1.61   6  1.56
1995.458 311.9  1.33   4 310.7  1.65   2 311.3  1.50   6  1.17
1995.542 312.2  1.14   4 310.4  1.57   3 311.3  1.37   7  1.72
1995.625 311.2  1.66   4 310.0  1.05   3 310.6  1.39   7  1.24
